account_number,company,transaction_amount,transaction_date
35495640,"Figueroa, Stark and Ferguson",66.95,2024-03-13
35495640,"Castillo, Hill and Lee",46.32,2024-07-11
35927483,"Rodriguez, Ray and Romero",4.83,2024-04-12
35927483,"Nguyen, Walker and Church",73.57,2024-04-11
35495640,Weber-Lynch,79.27,2024-07-07
35495640,"Suarez, Russell and Coleman",63.08,2024-03-01
35495640,"Evans, Young and Dean",70.79,2024-05-15
35927483,Hayes-Rios,51.22,2024-07-14
56124453,"Nguyen, Walker and Church",75.48,2024-02-22
56124453,"Rodriguez, Ray and Romero",19.23,2024-03-06
35495640,Monroe-Howard,1.78,2024-05-02
35927483,Gomez-Hunt,3.6,2024-02-13
56124453,"Smith, Smith and Sanford",89.09,2024-04-07
35927483,Hayes-Rios,30.56,2024-02-27
35495640,"Rhodes, Miller and Jackson",64.09,2024-03-26
35495640,Carpenter PLC,58.73,2024-02-10
35927483,Hayes-Rios,55.61,2024-04-15
35495640,Carpenter PLC,90.94,2024-03-16
56124453,Brown-Shaffer,68.64,2024-04-28
35495640,"Castillo, Hill and Lee",85.04,2024-07-27
56124453,Weber-Lynch,0.92,2024-03-22
35495640,"Smith, Smith and Sanford",19.23,2024-05-28
35927483,"Thomas, Walker and Craig",26.54,2024-07-24
56124453,Weber-Lynch,54.54,2024-07-21
56124453,"Castillo, Hill and Lee",43.0,2024-07-05
56124453,Hester-Thomas,88.15,2024-05-18
35927483,Weber-Lynch,67.65,2024-07-13
35495640,Gomez-Hunt,23.99,2024-01-20
56124453,"Suarez, Russell and Coleman",6.75,2024-07-05
56124453,"Hamilton, Brown and Vincent",50.88,2024-02-08
35495640,Weber-Lynch,50.19,2024-05-02
35927483,"Hamilton, Brown and Vincent",3.08,2024-02-05
35495640,"Hamilton, Brown and Vincent",2.72,2024-03-27
35495640,"Rhodes, Miller and Jackson",72.49,2024-01-23
56124453,"Trujillo, Ewing and Young",97.73,2024-02-20
35495640,Reyes PLC,90.37,2024-05-22
35495640,Allen Ltd,25.81,2024-02-25
35927483,"Thomas, Walker and Craig",35.58,2024-05-23
35495640,"Rhodes, Miller and Jackson",39.1,2024-04-12
35495640,Davis-Kennedy,7.64,2024-02-06
56124453,"Barnes, Young and Sanchez",86.74,2024-05-07
56124453,Jones and Sons,8.84,2024-07-11
35495640,"Nguyen, Walker and Church",58.87,2024-01-22
56124453,Hayes-Rios,92.03,2024-06-13
35927483,Weber-Lynch,28.81,2024-03-30
56124453,"Rhodes, Miller and Jackson",95.36,2024-07-19
56124453,Hayes-Rios,58.46,2024-06-02
35495640,Hughes Inc,58.91,2024-02-11
56124453,Hester-Thomas,60.88,2024-04-27
56124453,"Greene, Martin and Benson",42.62,2024-03-22
35927483,Hayes-Rios,29.8,2024-06-30
56124453,Davis-Kennedy,44.14,2024-06-08
35495640,"Martin, Fuentes and Owens",59.72,2024-02-02
35927483,"Martin, Fuentes and Owens",69.23,2024-05-24
35495640,Carpenter PLC,68.51,2024-06-01
56124453,"Thomas, Walker and Craig",3.77,2024-05-02
35927483,Weber-Lynch,92.67,2024-05-07
35927483,"Evans, Young and Dean",74.52,2024-03-27
35495640,"Smith, Smith and Sanford",31.28,2024-02-20
35495640,Smith-Daniels,66.66,2024-07-17
35495640,"Castillo, Hill and Lee",9.88,2024-05-25
35927483,Davis-Ramos,66.95,2024-07-13
35927483,Monroe-Howard,57.66,2024-05-09
35927483,"Thomas, Walker and Craig",77.51,2024-05-14
56124453,Monroe-Howard,31.08,2024-07-04
35495640,"Castillo, Hill and Lee",39.25,2024-02-14
35927483,Smith-Daniels,40.64,2024-06-10
35927483,"Rhodes, Miller and Jackson",48.36,2024-07-17
56124453,Brown-Shaffer,71.45,2024-03-25
35927483,"Barnes, Young and Sanchez",38.94,2024-03-12
35927483,"Nguyen, Walker and Church",36.91,2024-05-14
35495640,Brown-Shaffer,30.22,2024-05-18
35495640,"Suarez, Russell and Coleman",55.14,2024-07-04
35927483,Davis-Ramos,14.49,2024-01-10
56124453,Hughes Inc,61.8,2024-06-21
56124453,"Rhodes, Miller and Jackson",34.32,2024-07-23
35927483,"Greene, Martin and Benson",28.65,2024-04-28
35495640,Weber-Lynch,16.98,2024-02-10
35495640,Weber-Lynch,32.66,2024-04-14
56124453,Hester-Thomas,7.06,2024-05-11
35495640,Hester-Thomas,32.31,2024-06-06
56124453,"Rodriguez, Ray and Romero",95.79,2024-07-19
56124453,Hughes Inc,4.37,2024-01-14
35495640,"Hamilton, Brown and Vincent",77.69,2024-07-22
35495640,"Nguyen, Walker and Church",96.01,2024-02-22
35927483,"Thomas, Walker and Craig",37.69,2024-03-18
35495640,Brown-Shaffer,58.31,2024-07-20
35495640,Weber-Lynch,27.21,2024-03-16
35495640,Davis-Mcgee,77.21,2024-04-23
35495640,Gomez-Hunt,71.45,2024-02-23
56124453,Reyes PLC,61.89,2024-02-22
56124453,"Rodriguez, Ray and Romero",36.86,2024-03-28
35927483,Reyes PLC,64.02,2024-04-09
35927483,Jones and Sons,59.92,2024-04-22
56124453,Carpenter PLC,51.53,2024-07-25
35927483,"Nguyen, Walker and Church",19.07,2024-07-09
35927483,Reyes PLC,81.38,2024-02-09
35495640,Carpenter PLC,45.94,2024-02-01
35495640,Davis-Ramos,5.64,2024-02-16
35495640,Davis-Ramos,49.7,2024-07-04
56124453,Hughes Inc,74.35,2024-01-11
35927483,Allen Ltd,80.18,2024-07-24
35495640,Gomez-Hunt,18.24,2024-06-11
35927483,Gomez-Hunt,97.85,2024-01-08
35927483,"Rhodes, Miller and Jackson",92.74,2024-03-10
56124453,Allen Ltd,49.92,2024-06-25
35495640,"Castillo, Hill and Lee",67.99,2024-01-25
35927483,Monroe-Howard,19.15,2024-06-07
56124453,Allen Ltd,23.2,2024-01-25
35927483,"Hamilton, Brown and Vincent",52.69,2024-06-14
35927483,Carpenter PLC,31.41,2024-01-08
35495640,Davis-Ramos,86.85,2024-06-26
56124453,"Evans, Young and Dean",53.4,2024-02-08
35927483,Brown-Shaffer,15.21,2024-03-16
35495640,Hester-Thomas,98.67,2024-02-10
35495640,"Rodriguez, Ray and Romero",74.65,2024-02-18
35495640,Monroe-Howard,17.23,2024-06-13
35927483,"Thomas, Walker and Craig",78.31,2024-07-07
35927483,Smith-Daniels,34.04,2024-07-19
35927483,Smith-Daniels,37.79,2024-04-14
35927483,Smith-Daniels,76.78,2024-06-06
35495640,Davis-Mcgee,33.18,2024-01-31
35927483,Hughes Inc,80.51,2024-04-11
56124453,Monroe-Howard,39.97,2024-01-26
35495640,"Suarez, Russell and Coleman",85.37,2024-04-19
35927483,"Suarez, Russell and Coleman",84.6,2024-02-15
56124453,"Thomas, Walker and Craig",84.42,2024-06-03
35927483,Reyes PLC,46.99,2024-04-01
35927483,Brown-Shaffer,36.03,2024-03-14
35495640,Carpenter PLC,31.21,2024-01-19
35927483,"Trujillo, Ewing and Young",58.54,2024-05-09
35495640,"Evans, Young and Dean",51.26,2024-06-09
35495640,"Martin, Fuentes and Owens",7.8,2024-07-09
35927483,Hester-Thomas,56.97,2024-07-09
35927483,Reyes PLC,21.63,2024-03-29
35495640,"Thomas, Walker and Craig",10.65,2024-04-04
56124453,"Castillo, Hill and Lee",95.73,2024-07-11
56124453,Davis-Mcgee,52.28,2024-07-09
35927483,Hayes-Rios,39.11,2024-04-15
56124453,Allen Ltd,32.6,2024-07-08
56124453,"Castillo, Hill and Lee",50.76,2024-04-24
35495640,Hayes-Rios,36.05,2024-06-17
56124453,Davis-Ramos,36.05,2024-06-16
35927483,"Martin, Fuentes and Owens",9.26,2024-04-03
35927483,Sanchez-Meyers,87.88,2024-06-03
35495640,Brown-Shaffer,2.52,2024-03-05
56124453,Davis-Kennedy,67.01,2024-06-13
35927483,Monroe-Howard,36.34,2024-06-17
56124453,"Rodriguez, Ray and Romero",66.27,2024-06-02
35495640,Sanchez-Meyers,67.56,2024-02-27
56124453,Hughes Inc,48.24,2024-02-10
35495640,"Trujillo, Ewing and Young",74.82,2024-01-21
35927483,Reyes PLC,74.91,2024-06-09
56124453,Carpenter PLC,40.07,2024-04-03
56124453,"Greene, Martin and Benson",41.01,2024-02-12
56124453,"Figueroa, Stark and Ferguson",13.57,2024-04-03
35495640,"Greene, Martin and Benson",18.28,2024-03-02
35927483,Davis-Ramos,23.18,2024-03-27
35927483,Monroe-Howard,69.37,2024-03-29
35927483,Brown-Shaffer,82.77,2024-07-14
35927483,"Barnes, Young and Sanchez",39.93,2024-03-08
56124453,"Martin, Fuentes and Owens",73.58,2024-02-26
35495640,Monroe-Howard,8.31,2024-01-28
35495640,Monroe-Howard,73.02,2024-03-25
35927483,Davis-Mcgee,95.34,2024-07-13
35495640,Sanchez-Meyers,78.13,2024-06-07
35495640,"Suarez, Russell and Coleman",89.93,2024-03-20
56124453,"Evans, Young and Dean",95.32,2024-06-04
56124453,"Martin, Fuentes and Owens",63.99,2024-05-03
56124453,Davis-Mcgee,45.17,2024-05-08
35495640,"Martin, Fuentes and Owens",66.98,2024-06-28
35495640,Hester-Thomas,22.41,2024-03-15
56124453,"Figueroa, Stark and Ferguson",37.37,2024-05-26
35495640,"Figueroa, Stark and Ferguson",67.57,2024-06-05
35927483,Jones and Sons,73.88,2024-04-08
35927483,"Rodriguez, Ray and Romero",93.59,2024-04-16
35927483,Sanchez-Meyers,65.11,2024-01-12
35495640,Davis-Mcgee,56.05,2024-06-02
35927483,Smith-Daniels,47.12,2024-01-09
35927483,Hester-Thomas,83.02,2024-06-30
56124453,"Barnes, Young and Sanchez",15.7,2024-05-28
35495640,Carpenter PLC,84.0,2024-05-19
35495640,Monroe-Howard,68.16,2024-07-15
56124453,"Hamilton, Brown and Vincent",59.56,2024-01-27
35927483,Jones and Sons,63.38,2024-02-02
35495640,"Martin, Fuentes and Owens",58.66,2024-06-24
35927483,Jones and Sons,9.07,2024-06-22
56124453,Reyes PLC,34.43,2024-03-23
56124453,Sanchez-Meyers,33.38,2024-02-22
56124453,Hughes Inc,48.35,2024-05-03
35495640,"Smith, Smith and Sanford",14.72,2024-04-16
56124453,Brown-Shaffer,54.38,2024-02-11
56124453,Hughes Inc,45.78,2024-06-16
35927483,"Martin, Fuentes and Owens",95.69,2024-03-13
56124453,Monroe-Howard,72.84,2024-06-03
35927483,Allen Ltd,41.48,2024-05-29
56124453,Davis-Ramos,69.42,2024-05-11
56124453,Jones and Sons,38.17,2024-02-13
56124453,"Barnes, Young and Sanchez",6.57,2024-01-16
35495640,Davis-Kennedy,73.59,2024-01-15
35927483,"Castillo, Hill and Lee",21.38,2024-04-23
35927483,Davis-Kennedy,0.56,2024-01-31
35495640,"Smith, Smith and Sanford",48.64,2024-04-05
56124453,"Castillo, Hill and Lee",54.72,2024-07-24
35495640,Davis-Ramos,27.53,2024-04-29
35495640,"Trujillo, Ewing and Young",28.46,2024-05-16
35495640,"Evans, Young and Dean",26.79,2024-01-17
35495640,Sanchez-Meyers,66.98,2024-04-21
35495640,"Figueroa, Stark and Ferguson",92.48,2024-06-24
35927483,Hughes Inc,52.41,2024-05-13
35927483,"Smith, Smith and Sanford",19.5,2024-03-21
35927483,Sanchez-Meyers,16.88,2024-03-25
35927483,Allen Ltd,98.73,2024-05-22
56124453,Carpenter PLC,19.17,2024-03-11
35927483,"Rodriguez, Ray and Romero",22.1,2024-04-22
56124453,Jones and Sons,37.45,2024-07-15
56124453,Smith-Daniels,40.52,2024-07-04
35495640,Davis-Mcgee,44.12,2024-07-07
35495640,"Rodriguez, Ray and Romero",67.81,2024-03-12
35495640,Davis-Ramos,49.84,2024-03-03
35495640,"Trujillo, Ewing and Young",78.31,2024-02-27
35495640,Sanchez-Meyers,12.28,2024-01-07
35495640,Reyes PLC,12.75,2024-07-09
35495640,Reyes PLC,18.36,2024-01-01
35927483,Sanchez-Meyers,84.16,2024-05-19
35495640,"Thomas, Walker and Craig",92.21,2024-07-21
56124453,"Rhodes, Miller and Jackson",93.59,2024-05-20
35495640,Monroe-Howard,71.25,2024-07-10
35927483,Weber-Lynch,85.39,2024-02-29
35927483,Sanchez-Meyers,42.78,2024-05-15
56124453,Allen Ltd,46.87,2024-04-01
35495640,Jones and Sons,59.81,2024-07-22
35927483,Brown-Shaffer,29.29,2024-04-18
35495640,Davis-Kennedy,43.74,2024-05-02
35495640,"Suarez, Russell and Coleman",61.67,2024-06-13
56124453,"Rodriguez, Ray and Romero",60.03,2024-02-05
35495640,Hester-Thomas,53.07,2024-06-08
35927483,"Greene, Martin and Benson",71.17,2024-02-03
35495640,"Smith, Smith and Sanford",79.25,2024-03-06
35495640,Davis-Ramos,43.71,2024-06-27
56124453,"Figueroa, Stark and Ferguson",32.26,2024-05-11
56124453,Jones and Sons,57.43,2024-01-03
56124453,"Nguyen, Walker and Church",21.19,2024-01-08
35495640,"Castillo, Hill and Lee",62.13,2024-03-28
35495640,Brown-Shaffer,21.09,2024-06-19
35495640,"Hamilton, Brown and Vincent",11.14,2024-04-30
35495640,Smith-Daniels,9.22,2024-02-16
56124453,Davis-Ramos,74.95,2024-02-07
35927483,Gomez-Hunt,0.56,2024-01-24
35495640,"Evans, Young and Dean",84.25,2024-01-17
35495640,"Martin, Fuentes and Owens",62.03,2024-01-22
56124453,"Thomas, Walker and Craig",47.77,2024-04-01
56124453,"Rhodes, Miller and Jackson",26.34,2024-07-19
35927483,"Barnes, Young and Sanchez",89.05,2024-03-06
35495640,"Hamilton, Brown and Vincent",41.51,2024-01-06
35927483,"Suarez, Russell and Coleman",88.08,2024-03-24
35495640,"Nguyen, Walker and Church",3.91,2024-03-02
35495640,Reyes PLC,32.52,2024-01-25
35495640,Hester-Thomas,88.34,2024-07-25
35495640,Allen Ltd,59.58,2024-06-16
35495640,Hester-Thomas,38.48,2024-02-11
56124453,Brown-Shaffer,33.15,2024-02-22
35495640,Smith-Daniels,93.43,2024-07-23
35927483,Smith-Daniels,79.11,2024-02-20
35927483,"Smith, Smith and Sanford",6.39,2024-03-21
35927483,Davis-Mcgee,90.53,2024-06-07
35927483,Jones and Sons,77.93,2024-02-04
35927483,Allen Ltd,1.87,2024-02-29
35495640,Brown-Shaffer,55.31,2024-06-03
56124453,"Nguyen, Walker and Church",72.06,2024-05-05
56124453,"Nguyen, Walker and Church",98.87,2024-07-17
56124453,"Barnes, Young and Sanchez",76.0,2024-04-03
56124453,"Trujillo, Ewing and Young",93.21,2024-07-04
35495640,Allen Ltd,97.71,2024-01-27
35927483,"Nguyen, Walker and Church",79.93,2024-03-13
35927483,"Nguyen, Walker and Church",59.93,2024-06-15
35495640,Smith-Daniels,90.9,2024-05-24
35927483,"Castillo, Hill and Lee",0.22,2024-05-13
35927483,"Suarez, Russell and Coleman",92.46,2024-07-05
35495640,"Martin, Fuentes and Owens",15.58,2024-05-14
35927483,Allen Ltd,75.1,2024-03-21
56124453,"Hamilton, Brown and Vincent",80.31,2024-02-19
56124453,"Hamilton, Brown and Vincent",42.64,2024-02-13
35495640,"Thomas, Walker and Craig",44.82,2024-02-10
35927483,Sanchez-Meyers,61.03,2024-01-24
35927483,"Smith, Smith and Sanford",18.73,2024-04-19
56124453,Monroe-Howard,29.06,2024-05-28
35495640,"Nguyen, Walker and Church",52.39,2024-06-28
35927483,"Greene, Martin and Benson",59.57,2024-01-12
35495640,"Figueroa, Stark and Ferguson",93.43,2024-04-03
56124453,"Figueroa, Stark and Ferguson",58.23,2024-04-07
56124453,"Trujillo, Ewing and Young",0.79,2024-01-27
35927483,"Smith, Smith and Sanford",91.59,2024-07-27
35495640,"Hamilton, Brown and Vincent",73.91,2024-03-14
35927483,"Rhodes, Miller and Jackson",82.7,2024-03-09
35927483,Jones and Sons,82.42,2024-03-23
35927483,Hayes-Rios,64.77,2024-02-20
35927483,Monroe-Howard,14.84,2024-05-27
35495640,"Hamilton, Brown and Vincent",96.03,2024-05-31
35927483,Monroe-Howard,31.36,2024-01-30
35927483,"Hamilton, Brown and Vincent",38.23,2024-03-31
56124453,Sanchez-Meyers,63.03,2024-02-24
35927483,"Barnes, Young and Sanchez",69.25,2024-07-02
35927483,Jones and Sons,24.89,2024-03-25
56124453,Gomez-Hunt,47.34,2024-01-08
56124453,"Nguyen, Walker and Church",53.41,2024-02-13
56124453,"Thomas, Walker and Craig",20.96,2024-06-23
35495640,Sanchez-Meyers,1.19,2024-07-14
56124453,Hester-Thomas,96.76,2024-04-10
35495640,Davis-Ramos,48.63,2024-03-31
35495640,Hayes-Rios,19.44,2024-07-06
56124453,"Figueroa, Stark and Ferguson",31.91,2024-03-13
35495640,Gomez-Hunt,34.8,2024-06-27
35495640,"Castillo, Hill and Lee",36.59,2024-02-24
35927483,Jones and Sons,26.69,2024-02-05
35495640,"Evans, Young and Dean",79.29,2024-06-19
56124453,Davis-Mcgee,13.2,2024-07-04
35495640,Reyes PLC,86.61,2024-02-28
56124453,Sanchez-Meyers,76.69,2024-05-31
35927483,Davis-Ramos,67.28,2024-07-22
56124453,"Trujillo, Ewing and Young",51.12,2024-05-30
35495640,Hester-Thomas,43.43,2024-02-07
56124453,"Smith, Smith and Sanford",49.42,2024-07-10
35495640,Reyes PLC,21.5,2024-03-08
56124453,Jones and Sons,96.58,2024-02-14
35927483,Hughes Inc,22.13,2024-04-16
56124453,Davis-Kennedy,2.2,2024-07-12
56124453,Allen Ltd,91.31,2024-04-02
56124453,"Greene, Martin and Benson",40.32,2024-05-30
35927483,Smith-Daniels,39.04,2024-06-14
35927483,Hughes Inc,38.07,2024-04-01
35927483,"Greene, Martin and Benson",61.16,2024-01-10
56124453,"Rhodes, Miller and Jackson",60.78,2024-07-09
56124453,"Figueroa, Stark and Ferguson",59.18,2024-05-13
56124453,"Rodriguez, Ray and Romero",76.11,2024-07-13
35927483,"Castillo, Hill and Lee",73.76,2024-04-22
35927483,Weber-Lynch,67.32,2024-01-10
35927483,"Smith, Smith and Sanford",27.95,2024-06-15
35927483,"Smith, Smith and Sanford",4.14,2024-07-09
56124453,Hester-Thomas,31.23,2024-02-13
35927483,"Thomas, Walker and Craig",9.29,2024-06-11
35495640,Reyes PLC,60.93,2024-05-08
35927483,Brown-Shaffer,30.41,2024-03-03
35495640,"Barnes, Young and Sanchez",29.59,2024-02-29
35495640,"Thomas, Walker and Craig",4.36,2024-03-01
56124453,Hester-Thomas,39.48,2024-03-31
56124453,"Evans, Young and Dean",29.83,2024-02-13
35927483,"Castillo, Hill and Lee",42.17,2024-01-15
35495640,"Nguyen, Walker and Church",69.75,2024-02-04
35927483,"Barnes, Young and Sanchez",86.62,2024-05-22
